id,name
0,Samir_Kashk
1,Essid_Sami_Ben_Khemais
2,Madjid_Sahoune
3,Fahid_al_Shakri
4,Lased_Ben_Heni
5,Mohamed_Bensakhria
6,Seifallah_ben_Hassine
7,Mehdi_Khammoun
8,Essoussi_Laaroussi
9,Tarek_Maaroufi
10,Haydar_Abu_Doha
11,Mohamed_Atta
12,Abu_Qatada
13,Imad_Eddin_Barakat_Yarkas
14,Ahmed_Ressam
15,Zacarias_Moussaoui
16,Abu_Walid
17,Djamal_Beghal
18,Kamel_Daoudi
19,Jean-Marc_Grandvisir
20,Abu_Zubeida
21,Mizar_Trabelsi
22,Jerome_Courtaillier
23,David_Courtaillier
24,Ramzi_Bin_al-Shibh
25,Mohammed_Belfas
26,Agus_Budiman
27,Mounir_El_Motassadeq
28,Zakariya_Essabar
29,Said_Bahaji
30,Ziad_Jarrah
31,Marwan_Al-Shehhi
32,Abdelghani_Mzoudi
33,Ahmed_Khalil_Ibrahim_Samir_Al-Ani
34,Mustafa_Ahmed_al-Hisawi
35,Fayez_Ahmed
36,Waleed_Alshehri
37,Mamoun_Darkazanli
38,Wail_Alshehri
39,Satam_Suqami
40,Abdul_Aziz_Al-Omari
41,Lotfi_Raissi
42,Ahmed_Al_Haznawi
43,Hani_Hanjour
44,Nawaf_Alhazmi
45,Mohand_Alshehri
46,Mamduh_Mahmud_Salim
47,Salem_Alhazmi
48,Hamza_Alghamdi
49,Raed_Hijazi
50,Nabil_al-Marabh
51,Ahmed_Alghamdi
52,Rayed_Mohammed_Abdullah
53,Saeed_Alghamdi
54,Ahmed_Alnami
55,Majed_Moqed
56,Khalid_Al-Mihdhar
57,Bandar_Alhazmi
58,Raisal_Al_Salmi
59,Osama_Awadallah
60,Abdussattar_Shaikh
61,Mohamed_Abdi
