make,avg_range,min_range,max_range,num_models
Acura,290.7684,277.7211,303.8157,2
Audi,249.166152,185.1474,318.7269,34
BMW,252.87624137931036,80.76899999999999,323.6973,50
Cadillac,311.530175,301.9518,326.1825,8
Chevrolet,292.83271935483873,81.3903,492.0696,21
Dodge,261.44304,216.2124,308.1648,5
FIAT,141.0351,141.0351,141.0351,1
Fisker,313.290525,193.8456,359.7327,8
Ford,255.42463584905659,75.7986,319.9695,17
GMC,304.8512,278.9637,390.1764,9
Genesis,250.3839,234.8514,282.0702,4
Honda,278.1353,272.7507,280.8276,3
Hyundai,259.32106153846155,124.26,360.9753,17
Jaguar,232.73898,221.8041,236.7153,1
Jeep,286.72995,270.2655,303.1944,2
Kia,227.83071,92.5737,310.0287,17
Lexus,207.82485,195.7095,219.9402,2
Lucid,437.75291818181813,360.9753,520.0281,24
MINI,139.5262285714286,109.9701,211.8633,3
Mazda,100.02929999999999,100.0293,100.0293,1
Mercedes-Benz,278.5446837209302,205.029,370.9161,16
Mitsubishi,62.13,62.13,62.13,1
Nissan,188.73318857142854,72.6921,288.9045,15
Polestar,284.81825769230767,232.9875,349.7919,18
Porsche,221.5010268292683,191.9817,308.1648,12
Rivian,337.0834909090909,257.8395,419.9988,94
Rolls-Royce,268.4792625,251.0052,290.7684,4
Tesla,293.5804109826589,90.7098,405.0876,71
Toyota,237.51411428571427,221.8041,252.2478,4
VinFast,258.2832857142857,208.7568,329.9103,6
Volkswagen,229.45851600000003,123.0174,290.7684,9
Volvo,265.885335,208.1355,310.0287,15
smart,65.67141000000001,57.1596,67.7217,2
